"Station","Code","Count","days","RAI","habitat_type","trail","river_dist","ocean_dist","road_dist","trail_dist","altitude","canopy_cover","canopy_height","Y","X"
"TCT02","capuchin_whitefaced",0,80,0,"primary","on",610,1402,823,0,38,32.53,22.273,8.40575,-83.3280833333333
"TCT03","capuchin_whitefaced",0,92,0,"plantation","on",124,3021,1297,0,298,11.95,10.521,8.42075,-83.3268333333333
"TCT04","capuchin_whitefaced",0,90,0,"primary","on",211,1533,511,0,61,40.18,12.84,8.4095,-83.3356111111111
"TCT05","capuchin_whitefaced",0,91,0,"secondary","on",217,1469,20,0,38,4.78,17.347,8.41038888888889,-83.3401388888889
"TCT06","capuchin_whitefaced",0,76,0,"secondary","on",818,1629,187,0,10,29.11,28.245,8.41344444444444,-83.3446944444444
"TCT07","capuchin_whitefaced",0,75,0,"agricultural_matrix","on",1230,595,184,0,6,24.64,13.121,8.40547222222222,-83.3503333333333
"TCT08","capuchin_whitefaced",0,74,0,"primary","on",857,2160,17,0,86,16.67,12.831,8.41813888888889,-83.3435833333333
"TCT09","capuchin_whitefaced",1,76,1.32,"secondary","on",390,608,159,0,7,7.89,10.792,8.40266666666667,-83.3415833333333
"CT02","coati",23,108,21.3,"agricultural_matrix","off",1631,252,582,104,12,70.25,10.435,8.40338888888889,-83.3538611111111
"CT03","coati",39,110,35.45,"agricultural_matrix","off",644,201,96,160,1,22.9,5.697,8.40005555555556,-83.3453611111111
"CT04","coati",28,110,25.45,"agricultural_matrix","off",1148,230,133,165,6,6.44,9.953,8.40177777777778,-83.3497222222222
"CT06","coati",11,85,12.94,"secondary","off",219,135,499,116,14,38.71,7.239,8.39661111111111,-83.3369722222222
"CT07","coati",9,108,8.33,"agricultural_matrix","off",1589,787,767,46,13,15.62,9.746,8.40927777777778,-83.35625
"CT08","coati",3,106,2.83,"agricultural_matrix","off",1378,760,256,194,19,20.41,7.065,8.4075,-83.3516944444444
"CT09","coati",21,106,19.81,"agricultural_matrix","off",970,718,38,85,2,12.78,11.038,8.40586111111111,-83.3479722222222
"CT10","coati",7,106,6.6,"agricultural_matrix","off",546,702,353,247,17,13.57,6.62,8.40427777777778,-83.3437222222222
"CT12","coati",3,109,2.75,"secondary","off",116,671,28,184,29,36.6,14.285,8.40108333333333,-83.3350277777778
"CT13","coati",1,108,0.93,"agricultural_matrix","off",1199,1274,291,14,12,32.96,9.125,8.41352777777778,-83.3550555555556
"CT14","coati",0,108,0,"agricultural_matrix","off",1319,1260,176,385,12,10.81,5.973,8.41186111111111,-83.3504722222222
"CT15","coati",10,105,9.52,"secondary","off",817,1224,213,228,7,39.6,10.346,8.41011111111111,-83.34625
"CT16","coati",9,75,12,"secondary","off",320,1187,136,289,17,20.13,6.029,8.40836111111111,-83.3420555555556
"CT17","coati",2,110,1.82,"secondary","off",150,1157,277,111,29,53.33,12.154,8.40663888888889,-83.3377777777778
"CT18","coati",1,109,0.92,"primary","off",306,1769,400,8,39,58.42,24.244,8.40505555555556,-83.3336111111111
"CT19","coati",4,109,3.67,"primary","off",371,1201,607,88,44,63.1,17.687,8.40463888888889,-83.3305833333333
"CT20","coati",1,106,0.94,"secondary","off",951,1769,174,105,23,41.67,15.626,8.41758333333333,-83.3530833333333
"CT21","coati",5,108,4.63,"secondary","off",1356,1744,232,7,33,68.54,20.126,8.416,-83.3490555555556
"CT22","coati",4,109,3.67,"secondary","off",865,1709,265,72,11,49.25,26.285,8.41419444444444,-83.3446388888889
"CT23","coati",3,109,2.75,"secondary","off",388,1689,46,127,36,44.07,12.35,8.41252777777778,-83.34025
"CT24","coati",21,109,19.27,"primary","off",45,1670,396,60,30,56.06,23.172,8.41102777777778,-83.3362777777778
"CT25","coati",3,109,2.75,"primary","off",419,1630,808,54,73,52.98,19.274,8.40919444444445,-83.3319444444444
"CT26","coati",0,108,0,"primary","off",605,1594,1016,10,50,46.01,17.812,8.40741666666667,-83.3276666666667
"CT28","coati",1,108,0.93,"secondary","off",1170,2223,337,2,69,72.51,19.875,8.42011111111111,-83.3476944444444
"CT29","coati",0,107,0,"primary","off",795,2215,27,430,101,55.86,15.871,8.41844444444444,-83.3429166666667
"CT31","coati",1,104,0.96,"plantation","off",151,2172,565,481,53,77.81,11.081,8.41527777777778,-83.3346944444444
"CT32","coati",6,91,6.59,"primary","off",40,2143,1001,364,72,52.63,12.715,8.41358333333333,-83.3304166666667
"CT33","coati",1,108,0.93,"plantation","off",312,2116,920,13,185,37.63,4.541,8.41194444444444,-83.3262777777778
"CT34","coati",0,110,0,"plantation","off",105,2223,411,47,193,10.02,6.805,8.41141666666667,-83.3216666666667
