Name,Station,Code
2017-05-05 09.32.18_00191.AVI,CT03,coati
2017-05-05 10.10.58_00192.AVI,CT03,coati
2017-05-05 12.34.28_00193.AVI,CT03,coati
2017-05-18 05.08.06_00194.AVI,CT03,coati
2017-05-18 05.45.54_00195.AVI,CT03,coati
2017-05-18 06.48.12_00196.AVI,CT03,coati
2017-05-18 06.53.16_00197.AVI,CT03,coati
2017-05-18 06.54.00_00198.AVI,CT03,coati
2017-05-24 10.35.32_00199.AVI,CT03,coati
2017-05-24 10.55.22_00200.AVI,CT03,coati
2017-05-27 09.20.18_00201.AVI,CT03,coati
2017-05-27 09.21.26_00202.AVI,CT03,coati
2017-05-27 09.22.12_00203.AVI,CT03,coati
2017-05-27 09.22.58_00204.AVI,CT03,coati
2017-05-31 07.34.00_00205.AVI,CT03,coati
2017-06-19 04.25.16_00206.AVI,CT03,coati
2017-06-19 14.38.56_00207.AVI,CT03,coati
2017-06-20 12.39.08_00208.AVI,CT03,coati
2017-06-22 08.43.22_00209.AVI,CT03,coati
2017-06-24 06.53.30_00210.AVI,CT03,coati
2017-06-25 06.40.10_00211.AVI,CT03,coati
2017-06-25 06.58.36_00212.AVI,CT03,coati
2017-06-25 07.10.32_00213.AVI,CT03,coati
2017-06-25 07.11.24_00214.AVI,CT03,coati
2017-06-25 13.23.02_00215.AVI,CT03,coati
2017-06-25 13.23.52_00216.AVI,CT03,coati
2017-06-29 07.43.02_00217.AVI,CT03,coati
2017-07-05 13.23.32_00218.AVI,CT03,coati
2017-07-20 09.15.38_00219.AVI,CT03,coati
2017-08-09 03.19.02_00220.AVI,CT03,coati
2017-05-05 07.12.42_00221.AVI,CT03,curassow_great
2017-05-29 10.07.04_00222.AVI,CT03,curassow_great
2017-07-15 13.23.14_00223.AVI,CT03,curassow_great
2017-05-31 09.50.50_00224.AVI,CT03,grison
2017-05-17 17.33.30_00225.AVI,CT03,heron_barethroatedtiger
2017-06-10 18.07.08_00226.AVI,CT03,horse
2017-06-12 15.17.52_00227.AVI,CT03,horse
2017-05-15 10.45.18_00228.AVI,CT03,mammal_small_uid
2017-06-03 14.29.56_00229.AVI,CT03,mammal_small_uid
2017-05-02 03.43.42_00230.AVI,CT03,nothing
2017-05-02 11.04.32_00231.AVI,CT03,nothing
2017-05-03 17.17.40_00232.AVI,CT03,nothing
2017-05-04 06.43.34_00233.AVI,CT03,nothing
2017-05-05 20.59.10_00234.AVI,CT03,nothing
2017-05-07 23.44.36_00235.AVI,CT03,nothing
2017-05-09 18.34.14_00236.AVI,CT03,nothing
2017-05-14 20.11.56_00237.AVI,CT03,nothing
2017-05-15 05.29.08_00238.AVI,CT03,nothing
2017-05-15 10.48.38_00239.AVI,CT03,nothing
2017-05-15 13.39.36_00240.AVI,CT03,nothing
2017-05-16 21.13.38_00241.AVI,CT03,nothing
2017-05-16 23.56.38_00242.AVI,CT03,nothing
2017-05-17 17.41.58_00243.AVI,CT03,nothing
2017-05-17 17.55.48_00244.AVI,CT03,nothing
2017-05-18 21.31.32_00245.AVI,CT03,nothing
2017-05-18 22.02.08_00246.AVI,CT03,nothing
2017-05-18 23.23.26_00247.AVI,CT03,nothing
2017-05-20 07.20.48_00248.AVI,CT03,nothing
2017-05-22 16.37.52_00250.AVI,CT03,nothing
2017-05-22 16.38.38_00251.AVI,CT03,nothing
2017-05-22 16.47.46_00249.AVI,CT03,nothing
2017-05-23 01.05.02_00252.AVI,CT03,nothing
2017-05-23 20.50.06_00253.AVI,CT03,nothing
2017-05-24 15.31.40_00254.AVI,CT03,nothing
2017-05-25 06.55.22_00255.AVI,CT03,nothing
2017-05-29 23.22.26_00256.AVI,CT03,nothing
2017-06-01 06.20.56_00257.AVI,CT03,nothing
2017-06-04 08.36.12_00259.AVI,CT03,nothing
2017-06-04 08.50.52_00258.AVI,CT03,nothing
2017-06-09 00.49.50_00260.AVI,CT03,nothing
2017-06-12 22.14.00_00261.AVI,CT03,nothing
2017-06-12 23.32.54_00262.AVI,CT03,nothing
2017-06-15 22.40.20_00263.AVI,CT03,nothing
2017-06-18 14.25.32_00264.AVI,CT03,nothing
2017-06-20 18.59.34_00265.AVI,CT03,nothing
2017-06-20 21.32.50_00266.AVI,CT03,nothing
2017-06-22 21.39.14_00267.AVI,CT03,nothing
2017-06-23 01.51.54_00268.AVI,CT03,nothing
2017-06-23 02.16.00_00269.AVI,CT03,nothing
2017-06-25 14.08.34_00270.AVI,CT03,nothing
2017-06-27 23.14.24_00271.AVI,CT03,nothing
2017-06-28 23.39.52_00272.AVI,CT03,nothing
2017-06-29 07.23.40_00273.AVI,CT03,nothing
2017-07-01 01.24.04_00274.AVI,CT03,nothing
2017-07-02 03.18.10_00275.AVI,CT03,nothing
2017-07-03 06.03.16_00276.AVI,CT03,nothing
2017-07-04 00.48.06_00277.AVI,CT03,nothing
2017-07-04 03.37.10_00278.AVI,CT03,nothing
2017-07-04 20.14.14_00279.AVI,CT03,nothing
2017-07-06 02.15.00_00280.AVI,CT03,nothing
2017-07-06 20.25.02_00281.AVI,CT03,nothing
2017-07-07 03.36.02_00282.AVI,CT03,nothing
2017-07-08 02.03.50_00283.AVI,CT03,nothing
2017-07-11 09.25.44_00284.AVI,CT03,nothing
2017-07-11 09.26.32_00285.AVI,CT03,nothing
2017-07-17 19.08.48_00286.AVI,CT03,nothing
2017-07-17 23.12.18_00287.AVI,CT03,nothing
2017-07-18 20.10.08_00288.AVI,CT03,nothing
2017-07-19 20.18.16_00289.AVI,CT03,nothing
2017-07-19 22.39.58_00290.AVI,CT03,nothing
2017-07-20 23.52.26_00291.AVI,CT03,nothing
2017-07-23 01.07.12_00292.AVI,CT03,nothing
2017-07-27 09.36.30_00293.AVI,CT03,nothing
2017-07-28 07.27.34_00294.AVI,CT03,nothing
2017-07-29 23.58.20_00295.AVI,CT03,nothing
2017-07-30 06.32.46_00296.AVI,CT03,nothing
2017-08-16 19.55.20_00297.AVI,CT03,nothing
2017-08-17 10.13.34_00298.AVI,CT03,nothing
2017-08-18 06.43.26_00299.AVI,CT03,nothing
2017-05-10 19.24.54_00300.AVI,CT03,opossum_common
2017-05-19 21.56.34_00301.AVI,CT03,opossum_common
2017-07-04 20.55.28_00302.AVI,CT03,opossum_common
2017-05-07 02.58.58_00303.AVI,CT03,opossum_foureyed
2017-05-18 21.35.36_00304.AVI,CT03,opossum_foureyed
2017-06-08 19.55.52_00305.AVI,CT03,opossum_foureyed
2017-06-13 20.41.02_00306.AVI,CT03,opossum_foureyed
2017-06-24 20.34.22_00307.AVI,CT03,opossum_foureyed
2017-05-01 20.04.28_00308.AVI,CT03,paca
2017-05-01 23.17.36_00309.AVI,CT03,paca
2017-05-02 20.31.54_00310.AVI,CT03,paca
2017-05-03 04.21.52_00311.AVI,CT03,paca
2017-05-03 20.28.04_00312.AVI,CT03,paca
2017-05-04 00.27.26_00313.AVI,CT03,paca
2017-05-04 04.18.40_00314.AVI,CT03,paca
2017-05-04 21.16.30_00315.AVI,CT03,paca
2017-05-05 03.28.14_00316.AVI,CT03,paca
2017-05-06 23.54.46_00317.AVI,CT03,paca
2017-05-07 04.28.50_00318.AVI,CT03,paca
2017-05-08 18.45.32_00319.AVI,CT03,paca
2017-05-14 22.12.28_00320.AVI,CT03,paca
2017-05-14 22.27.16_00321.AVI,CT03,paca
2017-05-19 23.33.36_00322.AVI,CT03,paca
2017-05-19 23.35.16_00323.AVI,CT03,paca
2017-05-23 23.55.56_00324.AVI,CT03,paca
2017-05-24 01.47.12_00325.AVI,CT03,paca
2017-05-29 22.25.40_00326.AVI,CT03,paca
2017-06-12 20.23.26_00327.AVI,CT03,paca
2017-06-13 19.42.30_00328.AVI,CT03,paca
2017-06-13 21.32.02_00329.AVI,CT03,paca
2017-07-24 02.30.14_00330.AVI,CT03,paca
2017-07-27 22.34.42_00331.AVI,CT03,paca
2017-06-25 14.48.40_00332.AVI,CT03,peccary_collared
2017-06-25 14.50.28_00333.AVI,CT03,peccary_collared
2017-05-01 17.17.30_00334.AVI,CT03,people
2017-05-22 16.44.38_00335.AVI,CT03,people
2017-05-22 16.46.56_00336.AVI,CT03,people
2017-06-04 08.38.16_00337.AVI,CT03,people
2017-07-20 09.16.24_00338.AVI,CT03,people
2017-07-20 09.17.56_00339.AVI,CT03,people
2017-08-18 06.45.00_00340.AVI,CT03,puma
2017-08-17 10.14.48_00341.AVI,CT03,setup
2017-08-17 10.20.16_00342.AVI,CT03,setup
2017-08-19 09.44.28_00343.AVI,CT03,setup
2017-08-19 09.45.14_00344.AVI,CT03,setup
2017-08-19 09.46.02_00345.AVI,CT03,setup
2017-05-15 20.07.28_00346.AVI,CT03,skunk_striped
2017-05-20 19.38.38_00347.AVI,CT03,skunk_striped
2017-06-22 01.22.50_00348.AVI,CT03,skunk_striped
2017-07-19 22.09.36_00349.AVI,CT03,skunk_striped
2017-05-26 04.33.40_00350.AVI,CT03,tamandua
2017-06-25 03.46.12_00351.AVI,CT03,tamandua
2017-06-23 04.13.48_00352.AVI,CT03,uid
2017-05-06 09.56.08_00353.AVI,CT03,woodrail_greynecked
2017-05-06 09.58.28_00354.AVI,CT03,woodrail_greynecked
2017-05-09 17.24.30_00355.AVI,CT03,woodrail_greynecked
2017-06-25 06.39.20_00356.AVI,CT03,woodrail_greynecked
2017-06-29 08.10.58_00357.AVI,CT03,woodrail_greynecked
2017-07-14 08.59.40_00358.AVI,CT04,agouti
2017-05-13 08.57.16_00359.AVI,CT04,bird_large_uid
2017-06-15 08.49.30_00360.AVI,CT04,bird_small_uid
2017-06-19 13.05.10_00361.AVI,CT04,bird_small_uid
2017-07-17 16.55.14_00362.AVI,CT04,capuchin_whitefaced
2017-07-17 16.55.58_00363.AVI,CT04,capuchin_whitefaced
2017-07-17 16.56.44_00364.AVI,CT04,capuchin_whitefaced
2017-07-17 16.58.02_00365.AVI,CT04,capuchin_whitefaced
2017-07-17 17.04.22_00366.AVI,CT04,capuchin_whitefaced
2017-05-06 14.36.20_00367.AVI,CT04,coati
2017-05-08 12.27.40_00368.AVI,CT04,coati
2017-05-17 13.51.54_00369.AVI,CT04,coati
2017-05-17 13.52.40_00370.AVI,CT04,coati
2017-05-17 13.53.38_00371.AVI,CT04,coati
2017-05-17 13.54.32_00372.AVI,CT04,coati
2017-05-17 14.07.34_00373.AVI,CT04,coati
2017-05-21 09.20.40_00374.AVI,CT04,coati
2017-05-21 09.21.36_00375.AVI,CT04,coati
2017-05-22 13.27.56_00376.AVI,CT04,coati
2017-05-22 13.28.40_00377.AVI,CT04,coati
2017-05-22 13.30.48_00378.AVI,CT04,coati
2017-05-22 14.02.26_00379.AVI,CT04,coati
2017-05-22 14.03.12_00380.AVI,CT04,coati
2017-05-22 14.03.56_00381.AVI,CT04,coati
2017-05-22 14.04.52_00382.AVI,CT04,coati
2017-05-22 14.07.54_00383.AVI,CT04,coati
2017-05-26 07.09.12_00384.AVI,CT04,coati
2017-05-26 07.09.58_00385.AVI,CT04,coati
2017-05-26 07.10.42_00386.AVI,CT04,coati
2017-05-26 07.25.48_00387.AVI,CT04,coati
2017-06-03 07.18.16_00388.AVI,CT04,coati
2017-06-05 05.32.04_00389.AVI,CT04,coati
2017-06-16 09.58.28_00390.AVI,CT04,coati
2017-07-08 09.24.22_00391.AVI,CT04,coati
2017-07-28 08.20.26_00392.AVI,CT04,coati
2017-08-19 09.24.16_00393.AVI,CT04,coati
2017-08-19 09.25.02_00394.AVI,CT04,coati
2017-05-11 16.21.44_00395.AVI,CT04,curassow_great
2017-05-27 13.44.50_00396.AVI,CT04,curassow_great
2017-06-13 05.24.04_00397.AVI,CT04,curassow_great
2017-07-15 16.38.46_00398.AVI,CT04,curassow_great
2017-07-16 17.13.36_00399.AVI,CT04,curassow_great
2017-07-31 17.53.08_00400.AVI,CT04,curassow_great
2017-06-27 17.12.54_00401.AVI,CT04,hawk_roadside
2017-07-24 17.01.22_00402.AVI,CT04,horse
2017-07-24 17.02.08_00403.AVI,CT04,horse
2017-07-24 17.03.00_00404.AVI,CT04,horse
2017-07-24 17.03.46_00405.AVI,CT04,horse
2017-07-24 22.54.48_00406.AVI,CT04,horse
2017-08-08 06.43.24_00407.AVI,CT04,horse
2017-05-01 16.43.12_00408.AVI,CT04,nothing
2017-05-01 16.44.36_00409.AVI,CT04,nothing
2017-05-05 03.17.06_00410.AVI,CT04,nothing
2017-05-10 16.20.34_00411.AVI,CT04,nothing
2017-05-15 19.40.42_00412.AVI,CT04,nothing
2017-05-21 03.45.18_00413.AVI,CT04,nothing
2017-05-27 02.13.12_00414.AVI,CT04,nothing
2017-06-07 03.49.04_00415.AVI,CT04,nothing
2017-06-07 04.07.40_00416.AVI,CT04,nothing
2017-06-15 11.46.54_00417.AVI,CT04,nothing
2017-06-15 12.06.02_00418.AVI,CT04,nothing
